Scenario - Bisection Task
Logfile written - 09/11/2018 16:35:26

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	1	Picture	Instruction	Instruction							208	0	1	310098	1	0	next	other	0
1	1	Response	1								310231	310023	1
1	2	Picture	ITI	ITI							310306	0	1	13123	1	0	next	other	0
1	3	Sound	Stim;1;study;1;1;1;1168	Stim	1	study	1	1	1	1168	322060	0	1333			0		other	0
1	4	Picture	ITI	ITI							352106	0	1	20067	1	0	next	other	0
1	5	Sound	Stim;1;study;1;2;7;1994	Stim	1	study	1	2	7	1994	372064	0	4			0		other	0
1	6	Picture	ITI	ITI							422097	0	1	11249	1	0	next	other	0
1	7	Sound	Stim;1;study;1;3;1;1119	Stim	1	study	1	3	1	1119	433294	0	4			0		other	0
1	8	Picture	ITI	ITI							463341	0	1	19234	1	0	next	other	0
1	9	Sound	Stim;1;study;1;4;7;1914	Stim	1	study	1	4	7	1914	482493	0	4			0		other	0
1	10	Picture	ITI	ITI							532499	0	1	13123	1	0	next	other	0
1	11	Sound	Stim;1;study;1;5;1;1305	Stim	1	study	1	5	1	1305	545557	0	4			0		other	0
1	12	Picture	ITI	ITI							575618	0	1	12359	1	0	next	other	0
1	13	Sound	Stim;1;study;1;6;7;1228	Stim	1	study	1	6	7	1228	587911	0	4			0		other	0
1	14	Picture	ITI	ITI							637901	0	1	17914	1	0	next	other	0
1	15	Sound	Stim;1;study;1;7;1;1781	Stim	1	study	1	7	1	1781	655719	0	4			0		other	0
1	16	Picture	ITI	ITI							685812	0	1	17914	1	0	next	other	0
1	17	Sound	Stim;1;study;1;8;7;1783	Stim	1	study	1	8	7	1783	703654	0	4			0		other	0
1	18	Picture	ITI	ITI							753650	0	1	14026	1	0	next	other	0
1	19	Sound	Stim;1;study;1;9;1;1395	Stim	1	study	1	9	1	1395	767608	0	4			0		other	0
1	20	Picture	ITI	ITI							797672	0	1	16803	1	0	next	other	0
1	21	Sound	Stim;1;study;1;10;7;1670	Stim	1	study	1	10	7	1670	814384	0	4			0		other	0
1	22	Picture	End_Block	End_Block							864399	0	1	55479	1	0	next	other	0
1	22	Response	1								919705	55305	0
1	23	Picture	Break	Break							919878	0	1	34023	1	0	next	other	0
1	23	Response	1								953862	33984	0
1	24	Picture	ITI	ITI							953901	0	1	10068	1	0	next	other	0
1	25	Picture	Instruction	Instruction							963969	0	1	59575	1	0	next	other	0
1	25	Response	1								1023456	59487	0
1	26	Picture	ITI	ITI							1023545	0	1	10068	1	0	next	other	0
1	27	Sound	Stim;1;practice;1;1;5;1000	Stim	1	practice	1	1	5	1000	1033552	0	4			0		other	0
1	28	Picture	Feedback	Feedback							1074371	0	1	7082	1	0	next	other	0
1	29	Picture	ITI	ITI							1081454	0	1	10068	1	0	next	other	0
1	30	Sound	Stim;1;practice;1;2;6;1000	Stim	1	practice	1	2	6	1000	1091462	0	4			0		other	0
1	31	Picture	Feedback	Feedback							1136446	0	1	7082	1	0	next	other	0
1	32	Picture	ITI	ITI							1143529	0	1	10068	1	0	next	other	0
1	33	Sound	Stim;1;practice;1;3;3;1000	Stim	1	practice	1	3	3	1000	1153534	0	4			0		other	0
1	34	Picture	Feedback	Feedback							1188037	0	1	7082	1	0	next	other	0
1	35	Picture	ITI	ITI							1195119	0	1	10068	1	0	next	other	0
1	36	Sound	Stim;1;practice;1;4;2;1000	Stim	1	practice	1	4	2	1000	1205124	0	4			0		other	0
1	37	Picture	Feedback	Feedback							1237197	0	1	7082	1	0	next	other	0
1	38	Picture	ITI	ITI							1244279	0	1	10068	1	0	next	other	0
1	39	Sound	Stim;1;practice;1;5;1;1000	Stim	1	practice	1	5	1	1000	1254285	0	4			0		other	0
1	40	Picture	Feedback	Feedback							1284343	0	1	7082	1	0	next	other	0
1	41	Picture	ITI	ITI							1291426	0	1	10068	1	0	next	other	0
1	42	Sound	Stim;1;practice;1;6;7;1000	Stim	1	practice	1	6	7	1000	1301436	0	4			0		other	0
1	43	Picture	Feedback	Feedback							1351418	0	1	7082	1	0	next	other	0
1	44	Picture	ITI	ITI							1358500	0	1	10068	1	0	next	other	0
1	45	Sound	Stim;1;practice;1;7;4;1000	Stim	1	practice	1	7	4	1000	1368507	0	4			0		other	0
1	46	Picture	Feedback	Feedback							1405855	0	1	7082	1	0	next	other	0
1	47	Picture	ITI	ITI							1412937	0	1	10068	1	0	next	other	0
1	48	Sound	Stim;1;practice;2;1;5;1000	Stim	1	practice	2	1	5	1000	1422946	0	4			0		other	0
1	49	Picture	Feedback	Feedback							1463764	0	1	7082	1	0	next	other	0
1	50	Picture	ITI	ITI							1470846	0	1	10068	1	0	next	other	0
1	51	Sound	Stim;1;practice;2;2;6;1000	Stim	1	practice	2	2	6	1000	1480854	0	4			0		other	0
1	52	Picture	Feedback	Feedback							1525839	0	1	7082	1	0	next	other	0
1	53	Picture	ITI	ITI							1532921	0	1	10068	1	0	next	other	0
1	54	Sound	Stim;1;practice;2;3;4;1000	Stim	1	practice	2	3	4	1000	1542928	0	4			0		other	0
1	55	Picture	Feedback	Feedback							1580276	0	1	7082	1	0	next	other	0
1	56	Picture	ITI	ITI							1587359	0	1	10068	1	0	next	other	0
1	57	Sound	Stim;1;practice;2;4;7;1000	Stim	1	practice	2	4	7	1000	1597372	0	4			0		other	0
1	58	Picture	Feedback	Feedback							1647351	0	1	7082	1	0	next	other	0
1	59	Picture	ITI	ITI							1654433	0	1	10068	1	0	next	other	0
1	60	Sound	Stim;1;practice;2;5;2;1000	Stim	1	practice	2	5	2	1000	1664438	0	4			0		other	0
1	61	Picture	Feedback	Feedback							1696511	0	1	7082	1	0	next	other	0
1	62	Picture	ITI	ITI							1703593	0	1	10068	1	0	next	other	0
1	63	Sound	Stim;1;practice;2;6;3;1000	Stim	1	practice	2	6	3	1000	1713599	0	4			0		other	0
1	64	Picture	Feedback	Feedback							1748101	0	1	7082	1	0	next	other	0
1	65	Picture	ITI	ITI							1755183	0	1	10068	1	0	next	other	0
1	66	Sound	Stim;1;practice;2;7;1;1000	Stim	1	practice	2	7	1	1000	1765188	0	4			0		other	0
1	67	Picture	Feedback	Feedback							1795248	0	1	7082	1	0	next	other	0
1	68	Picture	ITI	ITI							1802330	0	1	10068	1	0	next	other	0
1	69	Sound	Stim;1;practice;3;1;1;1000	Stim	1	practice	3	1	1	1000	1812335	0	4			0		other	0
1	70	Picture	Feedback	Feedback							1842394	0	1	7082	1	0	next	other	0
1	71	Picture	ITI	ITI							1849477	0	1	10068	1	0	next	other	0
1	72	Sound	Stim;1;practice;3;2;4;1000	Stim	1	practice	3	2	4	1000	1859483	0	4			0		other	0
1	73	Picture	Feedback	Feedback							1896831	0	1	7082	1	0	next	other	0
1	74	Picture	ITI	ITI							1903914	0	1	10068	1	0	next	other	0
1	75	Sound	Stim;1;practice;3;3;6;1000	Stim	1	practice	3	3	6	1000	1913927	0	5			0		other	0
1	76	Picture	Feedback	Feedback							1958907	0	1	7082	1	0	next	other	0
1	77	Picture	ITI	ITI							1965989	0	1	10068	1	0	next	other	0
1	78	Sound	Stim;1;practice;3;4;2;1000	Stim	1	practice	3	4	2	1000	1975994	0	4			0		other	0
1	79	Picture	Feedback	Feedback							2008067	0	1	7082	1	0	next	other	0
1	80	Picture	ITI	ITI							2015149	0	1	10068	1	0	next	other	0
1	81	Sound	Stim;1;practice;3;5;3;1000	Stim	1	practice	3	5	3	1000	2025155	0	5			0		other	0
1	82	Picture	Feedback	Feedback							2059657	0	1	7082	1	0	next	other	0
1	83	Picture	ITI	ITI							2066739	0	1	10068	1	0	next	other	0
1	84	Sound	Stim;1;practice;3;6;5;1000	Stim	1	practice	3	6	5	1000	2076746	0	4			0		other	0
1	85	Picture	Feedback	Feedback							2117566	0	1	7082	1	0	next	other	0
1	86	Picture	ITI	ITI							2124648	0	1	10068	1	0	next	other	0
1	87	Sound	Stim;1;practice;3;7;7;1000	Stim	1	practice	3	7	7	1000	2134661	0	4			0		other	0
1	88	Picture	Feedback	Feedback							2184640	0	1	7152	1	0	next	other	0
1	89	Picture	Instruction	Instruction							2191792	0	1	40203	1	0	next	other	0
1	89	Response	1								2231843	40051	0
1	90	Picture	Break	Break							2231995	0	1	51313	1	0	next	other	0
1	90	Response	1								2283199	51204	0
1	91	Picture	Break	Break							2283308	0	1	37634	1	0	next	other	0
1	91	Response	1								2320876	37568	0
1	92	Picture	Instruction	Instruction							2320942	0	1	35620	1	0	next	other	0
1	92	Response	1								2356473	35532	0
