Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
13	study	1	1	1	1395	1	-1	0	left
13	study	1	2	7	1169	7	-1	0	left
13	study	1	3	1	1627	1	-1	0	left
13	study	1	4	7	1288	7	-1	0	left
13	study	1	5	1	1363	1	-1	0	left
13	study	1	6	7	1897	7	-1	0	left
13	study	1	7	1	1157	1	-1	0	left
13	study	1	8	7	1315	7	-1	0	left
13	study	1	9	1	1276	1	-1	0	left
13	study	1	10	7	1509	7	-1	0	left
13	practice	1	1	5	1000	2	2	1	left
13	practice	1	2	2	1000	1	1	1	left
13	practice	1	3	6	1000	2	2	1	left
13	practice	1	4	7	1000	2	2	1	left
13	practice	1	5	3	1000	1	1	1	left
13	practice	1	6	4	1000	1	1	1	left
13	practice	1	7	1	1000	1	1	1	left
13	practice	2	1	7	1000	2	2	1	left
13	practice	2	2	5	1000	2	1	0	left
13	practice	2	3	3	1000	1	1	1	left
13	practice	2	4	2	1000	1	1	1	left
13	practice	2	5	1	1000	1	1	1	left
13	practice	2	6	6	1000	2	2	1	left
13	practice	2	7	4	1000	1	1	1	left
13	practice	3	1	3	1000	1	1	1	left
13	practice	3	2	5	1000	2	2	1	left
13	practice	3	3	1	1000	1	1	1	left
13	practice	3	4	4	1000	1	2	0	left
13	practice	3	5	6	1000	2	2	1	left
13	practice	3	6	7	1000	2	2	1	left
13	practice	3	7	2	1000	1	1	1	left
13	test	1	1	6	1169	2	2	1	left
13	test	1	2	4	1684	1	1	1	left
13	test	1	3	1	1952	1	1	1	left
13	test	1	4	2	1688	1	1	1	left
13	test	1	5	3	1888	1	2	0	left
13	test	1	6	3	1360	1	1	1	left
13	test	1	7	2	1819	1	1	1	left
13	test	1	8	2	1044	1	1	1	left
13	test	1	9	4	1342	1	2	0	left
13	test	1	10	4	1498	1	1	1	left
13	test	1	11	2	1985	1	1	1	left
13	test	1	12	1	1030	1	1	1	left
13	test	1	13	1	1385	1	1	1	left
13	test	1	14	3	1596	1	1	1	left
13	test	1	15	1	1796	1	1	1	left
13	test	1	16	4	1193	1	1	1	left
13	test	1	17	5	1544	2	2	1	left
13	test	1	18	4	1046	1	1	1	left
13	test	1	19	7	1642	2	2	1	left
13	test	1	20	5	1565	2	2	1	left
13	test	1	21	5	1232	2	2	1	left
13	test	1	22	7	1387	2	2	1	left
13	test	1	23	6	1646	2	1	0	left
13	test	1	24	3	1882	1	1	1	left
13	test	1	25	7	1131	2	2	1	left
13	test	1	26	2	1496	1	1	1	left
13	test	1	27	6	1457	2	2	1	left
13	test	1	28	5	1759	2	1	0	left
13	test	1	29	2	1950	1	1	1	left
13	test	1	30	5	1851	2	1	0	left
13	test	1	31	6	1542	2	2	1	left
13	test	1	32	1	1092	1	1	1	left
13	test	1	33	6	1343	2	2	1	left
13	test	1	34	7	1254	2	2	1	left
13	test	1	35	3	1046	1	1	1	left
13	test	1	36	4	1243	1	1	1	left
13	test	1	37	3	1428	1	1	1	left
13	test	1	38	5	1093	2	1	0	left
13	test	1	39	1	1230	1	1	1	left
13	test	1	40	5	1208	2	1	0	left
13	test	1	41	3	1255	1	1	1	left
13	test	1	42	6	1780	2	1	0	left
13	test	1	43	2	1958	1	1	1	left
13	test	1	44	7	1541	2	2	1	left
13	test	1	45	1	1161	1	1	1	left
13	test	1	46	7	1578	2	2	1	left
13	test	1	47	7	1638	2	2	1	left
13	test	1	48	4	1896	1	1	1	left
13	test	1	49	6	1706	2	2	1	left
13	test	2	1	5	1874	2	2	1	left
