Scenario - Bisection Task
Logfile written - 10/08/2018 16:33:15

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

37	1	Picture	Instruction	Instruction											167	0	1	103817	1	0	next	other	0
37	1	Response	1												103788	103622	0
37	2	Picture	Stim;37;study;1;1;1;1459;1;-1;0;left	Stim	37	study	1	1	1	1459	1	-1	0	left	103984	0	1	15498	1	0	next	other	0
37	4	Picture	Stim;37;study;1;2;7;1179;7;-1;0;left	Stim	37	study	1	2	7	1179	7	-1	0	left	148810	0	1	11998	1	0	next	other	0
37	6	Picture	Stim;37;study;1;3;1;1545;1;-1;0;left	Stim	37	study	1	3	1	1545	1	-1	0	left	210634	0	1	15664	1	0	next	other	0
37	8	Picture	Stim;37;study;1;4;7;1254;7;-1;0;left	Stim	37	study	1	4	7	1254	7	-1	0	left	256293	0	1	12665	1	0	next	other	0
37	10	Picture	Stim;37;study;1;5;1;1144;1;-1;0;left	Stim	37	study	1	5	1	1144	1	-1	0	left	318950	0	1	11665	1	0	next	other	0
37	12	Picture	Stim;37;study;1;6;7;1542;7;-1;0;left	Stim	37	study	1	6	7	1542	7	-1	0	left	360444	0	1	15498	1	0	next	other	0
37	14	Picture	Stim;37;study;1;7;1;1854;1;-1;0;left	Stim	37	study	1	7	1	1854	1	-1	0	left	425934	0	1	18664	1	0	next	other	0
37	16	Picture	Stim;37;study;1;8;7;1452;7;-1;0;left	Stim	37	study	1	8	7	1452	7	-1	0	left	474593	0	1	14664	1	0	next	other	0
37	18	Picture	Stim;37;study;1;9;1;1243;1;-1;0;left	Stim	37	study	1	9	1	1243	1	-1	0	left	539249	0	1	12498	1	0	next	other	0
37	20	Picture	Stim;37;study;1;10;7;1258;7;-1;0;left	Stim	37	study	1	10	7	1258	7	-1	0	left	581743	0	1	12665	1	0	next	other	0
37	22	Picture	End_Block	End_Block											644399	0	1	138146	1	0	next	other	0
37	22	Response	1												782436	138037	1
37	23	Picture	Break	Break											782545	0	1	2166	1	0	next	other	0
37	23	Response	1												784595	2051	0
37	24	Picture	ITI	ITI											784711	0	1	10165	1	0	next	other	0
37	25	Picture	Instruction	Instruction											794876	0	1	198969	1	0	next	other	0
37	25	Response	1												993693	198817	0
