Scenario - Bisection Task
Logfile written - 08/28/2018 16:11:58

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

40	1	Response	1							1876	1737	0
40	2	Picture	ITI	ITI						1944	0	1	18192	1	0	next	other	0
40	3	Sound	Stim;40;study;1;1;1	Stim	40	study	1	1	1	19534	0	538			0		other	0
40	4	Picture	End_Block	End_Block						50063	0	1	17706	1	0	next	other	0
40	4	Response	1							67631	17568	0
40	5	Picture	Break	Break						67769	0	1	3611	1	0	next	other	0
40	5	Response	1							71311	3542	0
40	6	Picture	ITI	ITI						71380	0	1	10068	1	0	next	other	0
40	7	Response	1							87709	6261	0
40	8	Picture	ITI	ITI						87767	0	1	10068	1	0	next	other	0
40	9	Sound	Stim;40;practice;1;1;1	Stim	40	practice	1	1	1	97771	0	4			0		other	0
40	10	Picture	Feedback	Feedback						128248	0	1	5069	1	0	next	other	0
40	11	Picture	ITI	ITI						133317	0	1	10068	1	0	next	other	0
40	12	Sound	Stim;40;practice;1;2;7	Stim	40	practice	1	2	7	143327	0	4			0		other	0
40	13	Picture	Feedback	Feedback						193726	0	1	5069	1	0	next	other	0
40	13	Response	1							198741	5016	0
40	14	Picture	ITI	ITI						198795	0	1	10068	1	0	next	other	0
40	15	Sound	Stim;40;practice;1;3;5	Stim	40	practice	1	3	5	208801	0	4			0		other	0
40	16	Picture	Feedback	Feedback						250038	0	1	1042	1	0	next	other	0
40	17	Picture	ITI	ITI						251080	0	1	10068	1	0	next	other	0
40	18	Sound	Stim;40;practice;1;4;3	Stim	40	practice	1	4	3	261085	0	4			0		other	0
40	19	Picture	Feedback	Feedback						295935	0	1	1042	1	0	next	other	0
40	20	Picture	ITI	ITI						296977	0	1	10068	1	0	next	other	0
40	21	Sound	Stim;40;practice;1;5;4	Stim	40	practice	1	5	4	306983	0	4			0		other	0
40	22	Picture	Feedback	Feedback						344749	0	1	1042	1	0	next	other	0
40	23	Picture	ITI	ITI						345790	0	1	10068	1	0	next	other	0
40	24	Sound	Stim;40;practice;1;6;6	Stim	40	practice	1	6	6	355797	0	4			0		other	0
40	25	Picture	Feedback	Feedback						401200	0	1	1042	1	0	next	other	0
40	26	Picture	ITI	ITI						402242	0	1	10068	1	0	next	other	0
40	27	Sound	Stim;40;practice;1;7;2	Stim	40	practice	1	7	2	412246	0	4			0		other	0
40	28	Picture	Feedback	Feedback						444737	0	1	1111	1	0	next	other	0
40	29	Picture	Break	Break						445848	0	1	10485	1	0	next	other	0
40	29	Response	1							456243	10395	0
40	30	Picture	ITI	ITI						456332	0	1	10068	1	0	next	other	0
40	31	Sound	Stim;40;practice;2;1;6	Stim	40	practice	2	1	6	466340	0	4			0		other	0
40	32	Picture	Feedback	Feedback						511742	0	1	1042	1	0	next	other	0
40	33	Picture	ITI	ITI						512784	0	1	10068	1	0	next	other	0
40	34	Sound	Stim;40;practice;2;2;1	Stim	40	practice	2	2	1	522788	0	4			0		other	0
40	35	Picture	Feedback	Feedback						553265	0	1	5069	1	0	next	other	0
40	36	Picture	ITI	ITI						558334	0	1	10068	1	0	next	other	0
