Scenario - Bisection Task
Logfile written - 09/14/2018 14:34:59

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

5	1	Picture	Instruction	Instruction										208	0	1	102625	1	0	next	other	0
5	1	Response	1											102794	102585	0
5	2	Picture	Stim;5;study;1;1;1;1881;1;-1;0;left	Stim	5	study	1	1	1	1881	1	-1	0	102834	0	1	19442	1	0	next	other	0
5	4	Picture	Stim;5;study;1;2;7;1958;7;-1;0;left	Stim	5	study	1	2	7	1958	7	-1	0	151785	0	1	19650	1	0	next	other	0
5	6	Picture	Stim;5;study;1;3;1;1157;1;-1;0;left	Stim	5	study	1	3	1	1157	1	-1	0	221360	0	1	11665	1	0	next	other	0
5	8	Picture	Stim;5;study;1;4;7;1406;7;-1;0;left	Stim	5	study	1	4	7	1406	7	-1	0	263021	0	1	14163	2	0	next	other	0
5	10	Picture	Stim;5;study;1;5;1;1252;1;-1;0;left	Stim	5	study	1	5	1	1252	1	-1	0	327110	0	1	12637	1	0	next	other	0
5	12	Picture	Stim;5;study;1;6;7;1109;7;-1;0;left	Stim	5	study	1	6	7	1109	7	-1	0	369743	0	1	11179	1	0	next	other	0
5	14	Picture	Stim;5;study;1;7;1;1233;1;-1;0;left	Stim	5	study	1	7	1	1233	1	-1	0	430846	0	1	12429	1	0	next	other	0
5	16	Picture	Stim;5;study;1;8;7;1042;7;-1;0;left	Stim	5	study	1	8	7	1042	7	-1	0	473271	0	1	10485	1	0	next	other	0
5	18	Picture	Stim;5;study;1;9;1;1023;1;-1;0;left	Stim	5	study	1	9	1	1023	1	-1	0	533680	0	1	10276	1	0	next	other	0
5	20	Picture	Stim;5;study;1;10;7;1591;7;-1;0;left	Stim	5	study	1	10	7	1591	7	-1	0	573952	0	1	15970	1	0	next	other	0
5	22	Picture	End_Block	End_Block										639916	0	1	289129	1	0	next	other	0
5	22	Response	1											928890	288975	1
5	23	Picture	Break	Break										929044	0	1	6249	1	0	next	other	0
5	23	Response	1											935209	6165	0
5	24	Picture	ITI	ITI										935293	0	1	10068	1	0	next	other	0
5	25	Picture	Instruction	Instruction										945362	0	1	8055	1	0	next	other	0
5	25	Response	1											953288	7926	0
5	26	Picture	Instruction	Instruction										953416	0	1	72560	1	0	next	other	0
5	26	Response	1											1025922	72506	0
5	27	Picture	Stim;5;practice;1;1;5;1000;2;2;1;left	Stim	5	practice	1	1	5	1000	2	2	1	1025976	0	1	10068	1	0	next	other	0
5	29	Picture	Feedback	Feedback										1076803	0	1	7082	1	0	next	other	0
5	30	Picture	Stim;5;practice;1;2;3;1000;1;2;0;left	Stim	5	practice	1	2	3	1000	1	2	0	1083885	0	1	10068	1	0	next	other	0
5	32	Picture	Feedback	Feedback										1128393	0	1	7082	1	0	next	other	0
5	33	Picture	Stim;5;practice;1;3;6;1000;2;2;1;left	Stim	5	practice	1	3	6	1000	2	2	1	1135475	0	1	10068	1	0	next	other	0
5	35	Picture	Feedback	Feedback										1190468	0	1	7082	1	0	next	other	0
5	36	Picture	Stim;5;practice;1;4;4;1000;1;2;0;left	Stim	5	practice	1	4	4	1000	1	2	0	1197551	0	1	10068	1	0	next	other	0
5	38	Picture	Feedback	Feedback										1244905	0	1	7082	1	0	next	other	0
5	39	Picture	Stim;5;practice;1;5;1;1000;1;1;1;left	Stim	5	practice	1	5	1	1000	1	1	1	1251988	0	1	10068	1	0	next	other	0
5	41	Picture	Feedback	Feedback										1292052	0	1	7082	1	0	next	other	0
5	42	Picture	Stim;5;practice;1;6;7;1000;2;2;1;left	Stim	5	practice	1	6	7	1000	2	2	1	1299134	0	1	10068	1	0	next	other	0
5	44	Picture	Feedback	Feedback										1359127	0	1	7082	1	0	next	other	0
5	45	Picture	Stim;5;practice;1;7;2;1000;1;1;1;left	Stim	5	practice	1	7	2	1000	1	1	1	1366209	0	1	10068	1	0	next	other	0
5	47	Picture	Feedback	Feedback										1408287	0	1	7082	1	0	next	other	0
5	48	Picture	Stim;5;practice;2;1;7;1000;2;2;1;left	Stim	5	practice	2	1	7	1000	2	2	1	1415369	0	1	10068	1	0	next	other	0
5	50	Picture	Feedback	Feedback										1475361	0	1	7082	1	0	next	other	0
