Scenario - Bisection Task
Logfile written - 10/11/2018 13:25:31

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

3	1	Picture	Instruction	Instruction											166	0	1	12498	1	0	next	other	0
3	1	Response	1												12476	12309	0
3	2	Picture	Stim;3;study;1;1;1;1157;1;-1;0;left	Stim	3	study	1	1	1	1157	1	-1	0	left	12665	0	1	12331	1	0	next	other	0
3	4	Picture	Stim;3;study;1;2;7;1676;7;-1;0;left	Stim	3	study	1	2	7	1676	7	-1	0	left	54325	0	1	16831	1	0	next	other	0
3	6	Picture	Stim;3;study;1;3;1;1669;1;-1;0;left	Stim	3	study	1	3	1	1669	1	-1	0	left	121148	0	1	16831	1	0	next	other	0
3	8	Picture	Stim;3;study;1;4;7;1895;7;-1;0;left	Stim	3	study	1	4	7	1895	7	-1	0	left	167974	0	1	19164	1	0	next	other	0
3	10	Picture	Stim;3;study;1;5;1;1489;1;-1;0;left	Stim	3	study	1	5	1	1489	1	-1	0	left	236963	0	1	14998	1	0	next	other	0
3	12	Picture	Stim;3;study;1;6;7;1788;7;-1;0;left	Stim	3	study	1	6	7	1788	7	-1	0	left	281956	0	1	17997	1	0	next	other	0
3	14	Picture	Stim;3;study;1;7;1;1614;1;-1;0;left	Stim	3	study	1	7	1	1614	1	-1	0	left	349946	0	1	16331	1	0	next	other	0
3	16	Picture	Stim;3;study;1;8;7;1409;7;-1;0;left	Stim	3	study	1	8	7	1409	7	-1	0	left	396272	0	1	14165	1	0	next	other	0
3	18	Picture	Stim;3;study;1;9;1;1471;1;-1;0;left	Stim	3	study	1	9	1	1471	1	-1	0	left	460428	0	1	14831	1	0	next	other	0
3	20	Picture	Stim;3;study;1;10;7;1255;7;-1;0;left	Stim	3	study	1	10	7	1255	7	-1	0	left	505255	0	1	12665	1	0	next	other	0
3	22	Picture	End_Block	End_Block											567912	0	1	164974	1	0	next	other	0
3	22	Response	1												732639	164728	1
3	23	Picture	Break	Break											732886	0	1	6166	1	0	next	other	0
3	23	Response	1												738959	6073	0
3	24	Picture	ITI	ITI											739052	0	1	10165	1	0	next	other	0
3	25	Picture	Instruction	Instruction											749217	0	1	10998	1	0	next	other	0
3	25	Response	1												760076	10859	0
3	26	Picture	Instruction	Instruction											760215	0	1	33495	1	0	next	other	0
3	26	Response	1												793513	33298	0
3	27	Picture	Stim;3;practice;1;1;1;1000;1;0;0;left	Stim	3	practice	1	1	1	1000	1	0	0	left	793710	0	1	10165	1	0	next	other	0
3	29	Picture	Feedback	Feedback											833870	0	1	7166	1	0	next	other	0
