Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
6	study	1	1	1	1852	1	-1	0	right
6	study	1	2	7	1985	7	-1	0	right
6	study	1	3	1	1649	1	-1	0	right
6	study	1	4	7	1682	7	-1	0	right
6	study	1	5	1	1009	1	-1	0	right
6	study	1	6	7	1758	7	-1	0	right
6	study	1	7	1	1221	1	-1	0	right
6	study	1	8	7	1701	7	-1	0	right
6	study	1	9	1	1665	1	-1	0	right
6	study	1	10	7	1078	7	-1	0	right
6	practice	1	1	5	1000	1	1	1	right
6	practice	1	2	7	1000	1	1	1	right
6	practice	1	3	1	1000	2	2	1	right
6	practice	1	4	2	1000	2	2	1	right
6	practice	1	5	4	1000	2	1	0	right
6	practice	1	6	6	1000	1	1	1	right
6	practice	1	7	3	1000	2	2	1	right
6	practice	2	1	3	1000	2	2	1	right
6	practice	2	2	7	1000	1	1	1	right
6	practice	2	3	6	1000	1	1	1	right
6	practice	2	4	1	1000	2	2	1	right
6	practice	2	5	4	1000	2	2	1	right
6	practice	2	6	2	1000	2	2	1	right
6	practice	2	7	5	1000	1	1	1	right
6	practice	3	1	1	1000	2	2	1	right
6	practice	3	2	7	1000	1	1	1	right
6	practice	3	3	5	1000	1	1	1	right
6	practice	3	4	2	1000	2	2	1	right
6	practice	3	5	4	1000	2	0	0	right
6	practice	3	6	6	1000	1	1	1	right
6	practice	3	7	3	1000	2	2	1	right
6	test	1	1	3	1894	2	2	1	right
6	test	1	2	3	1673	2	2	1	right
6	test	1	3	4	1153	2	1	0	right
6	test	1	4	5	1999	1	1	1	right
6	test	1	5	5	1831	1	2	0	right
6	test	1	6	3	1536	2	2	1	right
6	test	1	7	7	1165	1	1	1	right
6	test	1	8	2	1929	2	2	1	right
6	test	1	9	1	1717	2	2	1	right
6	test	1	10	1	1192	2	2	1	right
6	test	1	11	7	1558	1	1	1	right
6	test	1	12	3	1054	2	2	1	right
6	test	1	13	5	1857	1	2	0	right
6	test	1	14	2	1053	2	2	1	right
6	test	1	15	7	1494	1	1	1	right
6	test	1	16	4	1510	2	2	1	right
6	test	1	17	6	1210	1	1	1	right
6	test	1	18	1	1509	2	2	1	right
6	test	1	19	6	1528	1	1	1	right
6	test	1	20	7	1091	1	1	1	right
6	test	1	21	7	1082	1	1	1	right
6	test	1	22	5	1009	1	2	0	right
6	test	1	23	6	1649	1	0	0	right
6	test	1	24	3	1349	2	2	1	right
6	test	1	25	2	1559	2	2	1	right
6	test	1	26	6	1283	1	1	1	right
6	test	1	27	6	1656	1	1	1	right
6	test	1	28	5	1472	1	2	0	right
6	test	1	29	7	1553	1	1	1	right
6	test	1	30	6	1419	1	1	1	right
6	test	1	31	2	1628	2	2	1	right
6	test	1	32	4	1780	2	2	1	right
6	test	1	33	7	1559	1	1	1	right
6	test	1	34	1	1765	2	2	1	right
6	test	1	35	2	1216	2	1	0	right
6	test	1	36	5	1924	1	2	0	right
6	test	1	37	4	1588	2	2	1	right
6	test	1	38	1	1723	2	2	1	right
6	test	1	39	4	1731	2	2	1	right
6	test	1	40	2	1059	2	2	1	right
6	test	1	41	2	1287	2	2	1	right
6	test	1	42	3	1326	2	2	1	right
6	test	1	43	6	1646	1	1	1	right
6	test	1	44	4	1008	2	2	1	right
6	test	1	45	4	1034	2	0	0	right
6	test	1	46	3	1464	2	2	1	right
6	test	1	47	1	1717	2	2	1	right
6	test	1	48	5	1960	1	1	1	right
6	test	1	49	1	1061	2	2	1	right
6	test	2	1	2	1461	2	2	1	right
6	test	2	2	4	1117	2	1	0	right
6	test	2	3	6	1705	1	1	1	right
6	test	2	4	6	1463	1	1	1	right
6	test	2	5	2	1585	2	2	1	right
6	test	2	6	2	1625	2	2	1	right
6	test	2	7	5	1602	1	1	1	right
6	test	2	8	2	1212	2	2	1	right
6	test	2	9	3	1455	2	2	1	right
6	test	2	10	1	1979	2	2	1	right
6	test	2	11	2	1686	2	2	1	right
6	test	2	12	7	1181	1	1	1	right
6	test	2	13	2	1666	2	2	1	right
6	test	2	14	1	1926	2	2	1	right
6	test	2	15	3	1488	2	2	1	right
6	test	2	16	4	1256	2	2	1	right
6	test	2	17	3	1653	2	2	1	right
6	test	2	18	6	1319	1	1	1	right
6	test	2	19	3	1291	2	2	1	right
6	test	2	20	2	1153	2	2	1	right
6	test	2	21	6	1131	1	1	1	right
6	test	2	22	7	1734	1	1	1	right
6	test	2	23	6	1797	1	1	1	right
6	test	2	24	4	1058	2	2	1	right
6	test	2	25	7	1810	1	1	1	right
6	test	2	26	1	1051	2	2	1	right
6	test	2	27	4	1901	2	2	1	right
6	test	2	28	1	1913	2	2	1	right
6	test	2	29	1	1448	2	2	1	right
6	test	2	30	5	1683	1	2	0	right
6	test	2	31	7	1022	1	1	1	right
6	test	2	32	5	1032	1	2	0	right
6	test	2	33	5	1572	1	2	0	right
6	test	2	34	4	1854	2	2	1	right
6	test	2	35	5	1495	1	2	0	right
6	test	2	36	6	1560	1	1	1	right
6	test	2	37	5	1404	1	2	0	right
6	test	2	38	1	1938	2	2	1	right
6	test	2	39	6	1870	1	1	1	right
6	test	2	40	1	1317	2	2	1	right
6	test	2	41	7	1494	1	1	1	right
6	test	2	42	7	1899	1	1	1	right
6	test	2	43	3	1094	2	2	1	right
6	test	2	44	5	1401	1	2	0	right
6	test	2	45	3	1509	2	2	1	right
6	test	2	46	3	1296	2	0	0	right
6	test	2	47	7	1134	1	1	1	right
6	test	2	48	4	1874	2	0	0	right
6	test	2	49	4	1410	2	2	1	right
6	test	3	1	2	1608	2	2	1	right
6	test	3	2	7	1930	1	1	1	right
6	test	3	3	5	1447	1	2	0	right
6	test	3	4	6	1845	1	1	1	right
6	test	3	5	2	1409	2	2	1	right
6	test	3	6	2	1322	2	2	1	right
6	test	3	7	3	1538	2	2	1	right
6	test	3	8	3	1012	2	2	1	right
6	test	3	9	1	1723	2	2	1	right
6	test	3	10	5	1877	1	2	0	right
6	test	3	11	4	1962	2	2	1	right
6	test	3	12	6	1514	1	2	0	right
6	test	3	13	7	1872	1	1	1	right
6	test	3	14	4	1939	2	2	1	right
6	test	3	15	4	1126	2	2	1	right
6	test	3	16	5	1067	1	2	0	right
6	test	3	17	3	1091	2	2	1	right
6	test	3	18	6	1478	1	2	0	right
6	test	3	19	1	1581	2	2	1	right
6	test	3	20	7	1618	1	1	1	right
6	test	3	21	6	1244	1	2	0	right
6	test	3	22	4	1468	2	2	1	right
6	test	3	23	7	1889	1	1	1	right
6	test	3	24	3	1669	2	2	1	right
6	test	3	25	5	1290	1	2	0	right
6	test	3	26	2	1064	2	2	1	right
6	test	3	27	4	1960	2	2	1	right
6	test	3	28	2	1421	2	2	1	right
6	test	3	29	1	1181	2	2	1	right
6	test	3	30	4	1519	2	2	1	right
6	test	3	31	1	1936	2	2	1	right
6	test	3	32	2	1736	2	2	1	right
6	test	3	33	6	1245	1	1	1	right
6	test	3	34	5	1268	1	2	0	right
6	test	3	35	5	1845	1	2	0	right
6	test	3	36	1	1910	2	2	1	right
6	test	3	37	1	1742	2	2	1	right
6	test	3	38	3	1305	2	2	1	right
6	test	3	39	7	1522	1	1	1	right
6	test	3	40	2	1653	2	2	1	right
6	test	3	41	5	1161	1	2	0	right
6	test	3	42	7	1098	1	1	1	right
6	test	3	43	7	1319	1	1	1	right
6	test	3	44	1	1688	2	2	1	right
6	test	3	45	6	1652	1	1	1	right
6	test	3	46	6	1885	1	1	1	right
6	test	3	47	3	1328	2	2	1	right
6	test	3	48	4	1852	2	2	1	right
6	test	3	49	3	1856	2	2	1	right
6	test	4	1	3	1565	2	2	1	right
6	test	4	2	5	1019	1	2	0	right
6	test	4	3	6	1629	1	1	1	right
6	test	4	4	4	1549	2	2	1	right
6	test	4	5	7	1797	1	1	1	right
6	test	4	6	2	1260	2	2	1	right
6	test	4	7	7	1609	1	1	1	right
6	test	4	8	1	1963	2	2	1	right
